total.dvit,dvit,dvit.number,location,block,row,vine,cultivar,country,parentage
DVIT1324.0000C,DVIT1324,1324,  L 12 59,L,12,59,Lakemont,UNKNOWN,NA
DVIT1324.0000D,DVIT1324,1324,  L 12 60,L,12,60,Lakemont,UNKNOWN,NA
DVIT0441.0000C,DVIT0441,441,  K 11  5,K,11,5,Lal,AFGHANISTAN,NA
DVIT0441.0000D,DVIT0441,441,  K 11  6,K,11,6,Lal,AFGHANISTAN,NA
DVIT0442.0000C,DVIT0442,442,  K  5 51,K,5,51,Lal Sorkh,AFGHANISTAN,NA
DVIT0442.0000D,DVIT0442,442,  K  5 52,K,5,52,Lal Sorkh,AFGHANISTAN,NA
DVIT0701.0000C,DVIT0701,701,  L 13 53,L,13,53,Lambrusca di Alessandria,UNKNOWN,NA
DVIT0701.0000D,DVIT0701,701,  L 13 54,L,13,54,Lambrusca di Alessandria,UNKNOWN,NA
DVIT0791.0000C,DVIT0791,791,  L 14 33,L,14,33,Lambrusco,ITALY,NA
DVIT0791.0000D,DVIT0791,791,  L 14 34,L,14,34,Lambrusco,ITALY,NA
DVIT0793.0000C,DVIT0793,793,  L  6 41,L,6,41,Late Blue Burgundy,GERMANY,NA
DVIT0793.0000D,DVIT0793,793,  L  6 42,L,6,42,Late Blue Burgundy,GERMANY,NA
DVIT0443.0000C,DVIT0443,443,  K 11  7,K,11,7,Late Edessa,GREECE,NA
DVIT0443.0000D,DVIT0443,443,  K 11  8,K,11,8,Late Edessa,GREECE,NA
DVIT0445.0000D,DVIT0445,445,  K  5 56,K,5,56,Lattuario,ITALY,NA
DVIT0444.0000C,DVIT0444,444,  K  5 53,K,5,53,Laubscher's Gem,UNKNOWN,NA
DVIT0444.0000D,DVIT0444,444,  K  5 54,K,5,54,Laubscher's Gem,UNKNOWN,NA
DVIT2641.0000A,DVIT2641,2641,  L 15  3,L,15,3,Leanoy,USSR,NA
DVIT2641.0000B,DVIT2641,2641,  L 15  4,L,15,4,Leanoy,USSR,NA
DVIT0794.0000A,DVIT0794,794,  L  1 13,L,1,13,Leanyka,AUSTRIA,NA
DVIT0794.0000B,DVIT0794,794,  L  1 14,L,1,14,Leanyka,AUSTRIA,NA
DVIT0796.0000C,DVIT0796,796,  L  6 45,L,6,45,Liatico,GREECE,NA
DVIT0796.0000D,DVIT0796,796,  L  6 46,L,6,46,Liatico,GREECE,NA
DVIT1107.0000A,DVIT1107,1107,  L  1 55,L,1,55,Limberger,GERMANY,NA
DVIT1107.0000B,DVIT1107,1107,  L  1 56,L,1,56,Limberger,GERMANY,NA
DVIT0797.0000C,DVIT0797,797,  L  6 47,L,6,47,Limberger,AUSTRIA,NA
DVIT0797.0000D,DVIT0797,797,  L  6 48,L,6,48,Limberger,AUSTRIA,NA
DVIT0446.0000C,DVIT0446,446,  K  5 57,K,5,57,Littorio (i.p. 90),ITALY,GARGANEGA X VERDEA
DVIT0446.0000D,DVIT0446,446,  K  5 58,K,5,58,Littorio (i.p. 90),ITALY,GARGANEGA X VERDEA
DVIT0798.0000C,DVIT0798,798,  L 13 79,L,13,79,Loin De L'oeil,FRANCE,NA
DVIT0798.0000D,DVIT0798,798,  L 13 80,L,13,80,Loin De L'oeil,FRANCE,NA
DVIT0447.0000C,DVIT0447,447,  K 11  9,K,11,9,Lombardia,ITALY,ITALIA X ANGELO PIROVANO (P 2)
DVIT0447.0000D,DVIT0447,447,  K 11 10,K,11,10,Lombardia,ITALY,ITALIA X ANGELO PIROVANO (P 2)
DVIT0448.0000C,DVIT0448,448,  K  5 59,K,5,59,Long Emperor,UNKNOWN,NA
DVIT0448.0000D,DVIT0448,448,  K  5 60,K,5,60,Long Emperor,UNKNOWN,NA
DVIT2079.0000A,DVIT2079,2079,  L  2 13,L,2,13,Longyan,CHINA,NA
DVIT2079.0000D,DVIT2079,2079,  L  2 14,L,2,14,Longyan,CHINA,NA
DVIT2078.0000C,DVIT2078,2078,  L 13 21,L,13,21,Longyan,CHINA,NA
DVIT2078.0000D,DVIT2078,2078,  L 13 22,L,13,22,Longyan,CHINA,NA
DVIT2177.0000D,DVIT2177,2177,  K  3  7,K,3,7,Loose Perlette,USA,NA
DVIT2177.0000B,DVIT2177,2177,  K  3  8,K,3,8,Loose Perlette,USA,NA
DVIT0449.0000C,DVIT0449,449,  K  5 61,K,5,61,Luglienga,UNKNOWN,NA
DVIT0449.0000D,DVIT0449,449,  K  5 62,K,5,62,Luglienga,UNKNOWN,NA
DVIT0450.0000C,DVIT0450,450,  K  5 63,K,5,63,Luquaci Thompson,FRANCE,NA
DVIT0450.0000D,DVIT0450,450,  K  5 64,K,5,64,Luquaci Thompson,FRANCE,NA
DVIT0799.0000C,DVIT0799,799,  L  6 49,L,6,49,Macaroli,UNKNOWN,NA
DVIT0799.0000D,DVIT0799,799,  L  6 50,L,6,50,Macaroli,UNKNOWN,NA
DVIT2642.0000A,DVIT2642,2642,  K 13 31,K,13,31,Madam Matijas,YUGOSLAVIA,NA
DVIT2642.0000B,DVIT2642,2642,  K 13 32,K,13,32,Madam Matijas,YUGOSLAVIA,NA
DVIT1108.0000A,DVIT1108,1108,  K  1 49,K,1,49,Madeleine Angervine,CANADA,NA
DVIT1108.0000B,DVIT1108,1108,  K  1 50,K,1,50,Madeleine Angervine,CANADA,NA
DVIT0451.0000C,DVIT0451,451,  K  5 65,K,5,65,Madeleine Angevine,UNKNOWN,NA
DVIT0451.0000D,DVIT0451,451,  K  5 66,K,5,66,Madeleine Angevine,UNKNOWN,NA
DVIT0452.0000C,DVIT0452,452,  K 11 11,K,11,11,Madeleine Celine,FRANCE,NA
DVIT0452.0000D,DVIT0452,452,  K 11 12,K,11,12,Madeleine Celine,FRANCE,NA
DVIT3211.0000B,DVIT3211,3211,  K 16 57,K,16,57,Madeleine Royale,USA,NA
DVIT3262.0000A,DVIT3262,3262,  L 18 81,L,18,81,Madeleine Sylvaner,UNKNOWN,NA
DVIT3262.0000B,DVIT3262,3262,  L 18 82,L,18,82,Madeleine Sylvaner,UNKNOWN,NA
DVIT3361.0000A,DVIT3361,3361,  K 17 17,K,17,17,Magliasina,USA,NA
DVIT3361.0000B,DVIT3361,3361,  K 17 18,K,17,18,Magliasina,USA,NA
DVIT0800.0000C,DVIT0800,800,  L  6 51,L,6,51,Magno,UNKNOWN,NA
DVIT0800.0000E,DVIT0800,800,  L  6 52,L,6,52,Magno,UNKNOWN,NA
DVIT0454.0000D,DVIT0454,454,  K  5 70,K,5,70,Malaga Rosada,PERU,NA
DVIT0801.0000C,DVIT0801,801,  L 14  1,L,14,1,Malagusiah,GREECE,NA
DVIT0801.0000D,DVIT0801,801,  L 14  2,L,14,2,Malagusiah,GREECE,NA
DVIT0802.0000C,DVIT0802,802,  L  6 53,L,6,53,Malbec,FRANCE,NA
DVIT0802.0000D,DVIT0802,802,  L  6 54,L,6,54,Malbec,FRANCE,NA
DVIT0804.0000C,DVIT0804,804,  L 14  3,L,14,3,Malmsey,UNKNOWN,NA
DVIT0804.0000D,DVIT0804,804,  L 14  4,L,14,4,Malmsey,UNKNOWN,NA
DVIT2327.0000B,DVIT2327,2327,  K  3 33,K,3,33,Malta Seedless,UNKNOWN,NA
