total.dvit,dvit,dvit.number,location,block,row,vine,cultivar,country,parentage
DVIT1976.0000C,DVIT1976,1976,  K  9 55,K,9,55,_5-12,YUGOSLAVIA,NA
DVIT1976.0000D,DVIT1976,1976,  K  9 56,K,9,56,_5-12,YUGOSLAVIA,NA
DVIT1977.0000C,DVIT1977,1977,  K  9 57,K,9,57,_5-14,YUGOSLAVIA,NA
DVIT1977.0000D,DVIT1977,1977,  K  9 58,K,9,58,_5-14,YUGOSLAVIA,NA
DVIT1978.0000E,DVIT1978,1978,  K  9 59,K,9,59,_5-15,YUGOSLAVIA,NA
DVIT1978.0000D,DVIT1978,1978,  K  9 60,K,9,60,_5-15,YUGOSLAVIA,NA
DVIT1979.0000C,DVIT1979,1979,  K 14 17,K,14,17,_5-17,YUGOSLAVIA,NA
DVIT1979.0000D,DVIT1979,1979,  K 14 18,K,14,18,_5-17,YUGOSLAVIA,NA
DVIT1980.0000C,DVIT1980,1980,  K 14 19,K,14,19,_5-20,YUGOSLAVIA,NA
DVIT1980.0000D,DVIT1980,1980,  K 14 20,K,14,20,_5-20,YUGOSLAVIA,NA
DVIT1981.0000C,DVIT1981,1981,  K 14 21,K,14,21,_5-30,YUGOSLAVIA,NA
DVIT1981.0000D,DVIT1981,1981,  K 14 22,K,14,22,_5-30,YUGOSLAVIA,NA
DVIT0333.0000C,DVIT0333,333,  K  4  9,K,4,9,Ab Jusht,AFGHANISTAN,NA
DVIT0333.0000D,DVIT0333,333,  K  4 10,K,4,10,Ab Jusht,AFGHANISTAN,NA
DVIT0305.0000C,DVIT0305,305,  K  3 51,K,3,51,Abla Aganin Isium,GERMANY,NA
DVIT0305.0000D,DVIT0305,305,  K  3 52,K,3,52,Abla Aganin Isium,GERMANY,NA
DVIT0327.0000C,DVIT0327,327,  K  3 79,K,3,79,Abla Aganin Isium,GERMANY,NA
DVIT0327.0000D,DVIT0327,327,  K  3 80,K,3,80,Abla Aganin Isium,GERMANY,NA
DVIT0306.0000A,DVIT0306,306,  K  1  1,K,1,1,Adjem Misquet,GERMANY,NA
DVIT0306.0000B,DVIT0306,306,  K  1  2,K,1,2,Adjem Misquet,GERMANY,NA
DVIT0618.0000C,DVIT0618,618,  L  3  7,L,3,7,Affenthaler,UNKNOWN,NA
DVIT0618.0000F,DVIT0618,618,  L  3  8,L,3,8,Affenthaler,UNKNOWN,NA
DVIT3153.0000A,DVIT3153,3153,  L 16 79,L,16,79,Affenthaler,USA,NA
DVIT3153.0000B,DVIT3153,3153,  L 16 80,L,16,80,Affenthaler,USA,NA
DVIT0334.0000C,DVIT0334,334,  K  4 11,K,4,11,Agadia,USSR,NA
DVIT0334.0000D,DVIT0334,334,  K  4 12,K,4,12,Agadia,USSR,NA
DVIT0619.0000C,DVIT0619,619,  L  3  9,L,3,9,Aglianico,ITALY,NA
DVIT0619.0000D,DVIT0619,619,  L  3 10,L,3,10,Aglianico,ITALY,NA
DVIT1024.0000C,DVIT1024,1024,  L 11 41,L,11,41,Agoumastos,GREECE,NA
DVIT1024.0000D,DVIT1024,1024,  L 11 42,L,11,42,Agoumastos,GREECE,NA
DVIT2701.0000C,DVIT2701,2701,  L 12 43,L,12,43,Agria,HUNGARY,(TEINT. xKADARKA) x(MALBEC xPERLE V.CSABA)
DVIT2701.0000D,DVIT2701,2701,  L 12 44,L,12,44,Agria,HUNGARY,(TEINT. xKADARKA) x(MALBEC xPERLE V.CSABA)
DVIT2630.0000A,DVIT2630,2630,  L 14 67,L,14,67,Agwam,NA,NA
DVIT2630.0000B,DVIT2630,2630,  L 14 68,L,14,68,Agwam,NA,NA
DVIT2037.0000C,DVIT2037,2037,  K 11 51,K,11,51,Aitah,AFGHANISTAN,NA
DVIT2037.0000D,DVIT2037,2037,  K 11 52,K,11,52,Aitah,AFGHANISTAN,NA
DVIT0336.0000C,DVIT0336,336,  K  4 13,K,4,13,Aitah Ghulaman,AFGHANISTAN,NA
DVIT0336.0000D,DVIT0336,336,  K  4 14,K,4,14,Aitah Ghulaman,AFGHANISTAN,NA
DVIT0563.0000C,DVIT0563,563,  K 11 33,K,11,33,Ajmi,IRAQ,NA
DVIT0563.0000D,DVIT0563,563,  K 11 34,K,11,34,Ajmi,IRAQ,NA
DVIT3154.0000A,DVIT3154,3154,  K 16 29,K,16,29,Ajmi,NA,NA
DVIT3154.0000B,DVIT3154,3154,  K 16 30,K,16,30,Ajmi,NA,NA
DVIT0612.0000C,DVIT0612,612,  K  9  5,K,9,5,Ak Schekerek,GERMANY,NA
DVIT0612.0000D,DVIT0612,612,  K  9  6,K,9,6,Ak Schekerek,GERMANY,NA
DVIT0307.0000C,DVIT0307,307,  K  3 53,K,3,53,Al Borla,GERMANY,NA
DVIT0307.0000D,DVIT0307,307,  K  3 54,K,3,54,Al Borla,GERMANY,NA
DVIT0622.0000C,DVIT0622,622,  L  3 13,L,3,13,Albana,ITALY,NA
DVIT0622.0000D,DVIT0622,622,  L  3 14,L,3,14,Albana,ITALY,NA
DVIT0634.0000C,DVIT0634,634,  L 13 27,L,13,27,Alburla,UNKNOWN,NA
DVIT0634.0000D,DVIT0634,634,  L 13 28,L,13,28,Alburla,UNKNOWN,NA
DVIT0623.0000C,DVIT0623,623,  L  3 15,L,3,15,Aleatico,UNKNOWN,NA
DVIT0623.0000D,DVIT0623,623,  L  3 16,L,3,16,Aleatico,UNKNOWN,NA
DVIT0624.0000A,DVIT0624,624,  L  1  1,L,1,1,Alicante Bouschet,ITALY,NA
DVIT0624.0000B,DVIT0624,624,  L  1  2,L,1,2,Alicante Bouschet,ITALY,NA
DVIT0625.0000C,DVIT0625,625,  L  3 17,L,3,17,Alicante Bouschet,ITALY,NA
DVIT0625.0000D,DVIT0625,625,  L  3 18,L,3,18,Alicante Bouschet,ITALY,NA
DVIT1025.0000C,DVIT1025,1025,  L 11 43,L,11,43,Alicante Branca,UNKNOWN,NA
DVIT1025.0000E,DVIT1025,1025,  L 11 44,L,11,44,Alicante Branca,UNKNOWN,NA
DVIT3155.0000A,DVIT3155,3155,  L 17  1,L,17,1,Alicante Ganzin,NA,NA
DVIT3155.0000B,DVIT3155,3155,  L 17  2,L,17,2,Alicante Ganzin,NA,NA
DVIT0626.0000D,DVIT0626,626,  L  3 20,L,3,20,Alicante Vermelho,PORTUGAL,NA
DVIT0627.0000C,DVIT0627,627,  L  3 21,L,3,21,Aligote,FRANCE,NA
DVIT0627.0000D,DVIT0627,627,  L  3 22,L,3,22,Aligote,FRANCE,NA
DVIT0337.0000C,DVIT0337,337,  K  4 15,K,4,15,Alloued Zeine,UNKNOWN,NA
DVIT0337.0000D,DVIT0337,337,  K  4 16,K,4,16,Alloued Zeine,UNKNOWN,NA
DVIT1079.0000A,DVIT1079,1079,  K  1 29,K,1,29,Almeria,UNKNOWN,NA
DVIT1079.0000B,DVIT1079,1079,  K  1 30,K,1,30,Almeria,UNKNOWN,NA
DVIT0338.0000A,DVIT0338,338,  K  1  7,K,1,7,Alulu,UNKNOWN,NA
DVIT0338.0000B,DVIT0338,338,  K  1  8,K,1,8,Alulu,UNKNOWN,NA
DVIT1058.0000C,DVIT1058,1058,  L 12 21,L,12,21,Alvarelhao,PORTUGAL,NA
DVIT1058.0000D,DVIT1058,1058,  L 12 22,L,12,22,Alvarelhao,PORTUGAL,NA
DVIT0630.0000C,DVIT0630,630,  L  3 27,L,3,27,Anacelatta,UNKNOWN,NA
DVIT0630.0000D,DVIT0630,630,  L  3 28,L,3,28,Anacelatta,UNKNOWN,NA
DVIT0629.0000C,DVIT0629,629,  L  3 25,L,3,25,Anatolitico,GREECE,NA
DVIT0629.0000D,DVIT0629,629,  L  3 26,L,3,26,Anatolitico,GREECE,NA
DVIT0339.0000C,DVIT0339,339,  K  4 17,K,4,17,Angelina,UNKNOWN,NA
DVIT0339.0000D,DVIT0339,339,  K  4 18,K,4,18,Angelina,UNKNOWN,NA
DVIT0564.0000E,DVIT0564,564,  K  8  1,K,8,1,Angelo Pirovano,ITALY,CHASSELAS ROSE X MUSCAT HAMBURG
DVIT0564.0000D,DVIT0564,564,  K  8  2,K,8,2,Angelo Pirovano,ITALY,CHASSELAS ROSE X MUSCAT HAMBURG
DVIT0340.0000C,DVIT0340,340,  K  4 19,K,4,19,Angevine Oberlin,UNKNOWN,NA
DVIT0340.0000D,DVIT0340,340,  K  4 20,K,4,20,Angevine Oberlin,UNKNOWN,NA
DVIT0341.0000C,DVIT0341,341,  K  4 21,K,4,21,Angulata,UNKNOWN,NA
DVIT0341.0000D,DVIT0341,341,  K  4 22,K,4,22,Angulata,UNKNOWN,NA
DVIT3156.0000A,DVIT3156,3156,  K 16 31,K,16,31,Anna Maria,ITALY,Perle Von Csaba x David
DVIT3156.0000B,DVIT3156,3156,  K 16 32,K,16,32,Anna Maria,ITALY,Perle Von Csaba x David
DVIT0631.0000C,DVIT0631,631,  L  3 29,L,3,29,Antibo,UNKNOWN,NA
DVIT0631.0000D,DVIT0631,631,  L  3 30,L,3,30,Antibo,UNKNOWN,NA
DVIT0342.0000F,DVIT0342,342,  K  1  9,K,1,9,Appley Towers,UNKNOWN,GROS COLMAN X ALICANTE
DVIT0342.0000G,DVIT0342,342,  K  1 10,K,1,10,Appley Towers,UNKNOWN,GROS COLMAN X ALICANTE
DVIT0632.0000E,DVIT0632,632,  L  3 31,L,3,31,Araclinos,GREECE,NA
DVIT0632.0000D,DVIT0632,632,  L  3 32,L,3,32,Araclinos,GREECE,NA
DVIT0633.0000C,DVIT0633,633,  L  3 33,L,3,33,Aramon,UNKNOWN,NA
DVIT0633.0000D,DVIT0633,633,  L  3 34,L,3,34,Aramon,UNKNOWN,NA
DVIT0635.0000C,DVIT0635,635,  L  3 35,L,3,35,Arcathinoh,GREECE,NA
DVIT0635.0000D,DVIT0635,635,  L  3 36,L,3,36,Arcathinoh,GREECE,NA
DVIT2305.0000A,DVIT2305,2305,  L  2 33,L,2,33,Argant,SPAIN,NA
DVIT2305.0000B,DVIT2305,2305,  L  2 34,L,2,34,Argant,SPAIN,NA
DVIT0636.0000H,DVIT0636,636,  L  3 37,L,3,37,Arhaniotico Kokino,GREECE,NA
DVIT0636.0000F,DVIT0636,636,  L  3 38,L,3,38,Arhaniotico Kokino,GREECE,NA
DVIT0560.0000C,DVIT0560,560,  K 11 31,K,11,31,Aricaras,GREECE,NA
DVIT0560.0000D,DVIT0560,560,  K 11 32,K,11,32,Aricaras,GREECE,NA
DVIT2666.0000A,DVIT2666,2666,  L 15 17,L,15,17,Arnsburger,GERMANY,Riesling88 GM X Riesling64 GM
DVIT2666.0000B,DVIT2666,2666,  L 15 18,L,15,18,Arnsburger,GERMANY,Riesling88 GM X Riesling64 GM
DVIT0637.0000C,DVIT0637,637,  L  3 39,L,3,39,Aromatico,UNKNOWN,MUSCATO HAMBURG X CICLOPICA (P 60)
DVIT0637.0000D,DVIT0637,637,  L  3 40,L,3,40,Aromatico,UNKNOWN,MUSCATO HAMBURG X CICLOPICA (P 60)
DVIT0343.0000C,DVIT0343,343,  K 10 21,K,10,21,Askari,AFGHANISTAN,NA
DVIT0343.0000D,DVIT0343,343,  K 10 22,K,10,22,Askari,AFGHANISTAN,NA
DVIT3157.0000A,DVIT3157,3157,  K 16 33,K,16,33,Askari,NA,NA
DVIT3157.0000B,DVIT3157,3157,  K 16 34,K,16,34,Askari,NA,NA
DVIT0344.0000E,DVIT0344,344,  K  4 24,K,4,24,Askari Khari,AFGHANISTAN,NA
DVIT0565.0000C,DVIT0565,565,  K  8  3,K,8,3,Askary,IRAN,NA
DVIT0565.0000D,DVIT0565,565,  K  8  4,K,8,4,Askary,IRAN,NA
DVIT0638.0000E,DVIT0638,638,  L  3 41,L,3,41,Askathari,GREECE,NA
DVIT0638.0000G,DVIT0638,638,  L  3 42,L,3,42,Askathari,GREECE,NA
DVIT2054.0000A,DVIT2054,2054,  K  1 69,K,1,69,Asma,USSR,NA
DVIT2054.0000B,DVIT2054,2054,  K  1 70,K,1,70,Asma,USSR,NA
DVIT0308.0000F,DVIT0308,308,  K  3 55,K,3,55,Asma,GERMANY,NA
DVIT0308.0000D,DVIT0308,308,  K  3 56,K,3,56,Asma,GERMANY,NA
DVIT0309.0000E,DVIT0309,309,  K  3 57,K,3,57,Asma Sohwars,GERMANY,NA
DVIT0309.0000D,DVIT0309,309,  K  3 58,K,3,58,Asma Sohwars,GERMANY,NA
DVIT0639.0000J,DVIT0639,639,  L  3 43,L,3,43,Aspiran Noir,UNKNOWN,NA
DVIT0639.0000E,DVIT0639,639,  L  3 44,L,3,44,Aspiran Noir,UNKNOWN,NA
DVIT0640.0000C,DVIT0640,640,  L 13 29,L,13,29,Asprocoritho,GREECE,NA
DVIT0640.0000D,DVIT0640,640,  L 13 30,L,13,30,Asprocoritho,GREECE,NA
DVIT0641.0000C,DVIT0641,641,  L  3 45,L,3,45,Asprorombola,GREECE,NA
DVIT0641.0000D,DVIT0641,641,  L  3 46,L,3,46,Asprorombola,GREECE,NA
DVIT0642.0000C,DVIT0642,642,  L  3 47,L,3,47,Aspruda Ariloghi,GREECE,NA
DVIT0642.0000D,DVIT0642,642,  L  3 48,L,3,48,Aspruda Ariloghi,GREECE,NA
DVIT1026.0000C,DVIT1026,1026,  L 11 45,L,11,45,Aspruda Halkidos,GREECE,NA
DVIT1026.0000D,DVIT1026,1026,  L 11 46,L,11,46,Aspruda Halkidos,GREECE,NA
DVIT1027.0000C,DVIT1027,1027,  L 11 47,L,11,47,Aspruda Santorinih,GREECE,NA
DVIT1027.0000D,DVIT1027,1027,  L 11 48,L,11,48,Aspruda Santorinih,GREECE,NA
DVIT0645.0000E,DVIT0645,645,  L 13 31,L,13,31,Assirtico,GREECE,NA
DVIT0645.0000D,DVIT0645,645,  L 13 32,L,13,32,Assirtico,GREECE,NA
DVIT2087.0000A,DVIT2087,2087,  K  2 11,K,2,11,Aswad,YEMEN ARAB REPUBLIC,NA
DVIT2087.0000B,DVIT2087,2087,  K  2 12,K,2,12,Aswad,YEMEN ARAB REPUBLIC,NA
DVIT2085.0000F,DVIT2085,2085,  K 14 23,K,14,23,Aswad,YEMEN ARAB REPUBLIC,NA
DVIT2085.0000G,DVIT2085,2085,  K 14 24,K,14,24,Aswad,YEMEN ARAB REPUBLIC,NA
DVIT0646.0000C,DVIT0646,646,  L  3 53,L,3,53,Atzala,GREECE,NA
DVIT0646.0000D,DVIT0646,646,  L  3 54,L,3,54,Atzala,GREECE,NA
DVIT3158.0000B,DVIT3158,3158,  L 17  4,L,17,4,Audibert,GERMANY,NA
DVIT0566.0000C,DVIT0566,566,  K  8  5,K,8,5,Augustiatico,GREECE,NA
DVIT0566.0000D,DVIT0566,566,  K  8  6,K,8,6,Augustiatico,GREECE,NA
DVIT0345.0000C,DVIT0345,345,  K  4 25,K,4,25,Aurora,ITALY,OLIVETTE BARTHELET X PIROVANO 28
DVIT0345.0000E,DVIT0345,345,  K  4 26,K,4,26,Aurora,ITALY,OLIVETTE BARTHELET X PIROVANO 28
DVIT1341.0000C,DVIT1341,1341,  K  9 39,K,9,39,Aurora,UNKNOWN,OLIVETTE BARTHELET X PIROVANO 28
DVIT1341.0000D,DVIT1341,1341,  K  9 40,K,9,40,Aurora,UNKNOWN,OLIVETTE BARTHELET X PIROVANO 28
DVIT1325.0000C,DVIT1325,1325,  K  9 31,K,9,31,Austrian Seedless,UNKNOWN,NA
DVIT1325.0000D,DVIT1325,1325,  K  9 32,K,9,32,Austrian Seedless,UNKNOWN,NA
DVIT1650.0000C,DVIT1650,1650,  K  9 45,K,9,45,Austrian Seedless,UNKNOWN,NA
DVIT1650.0000D,DVIT1650,1650,  K  9 46,K,9,46,Austrian Seedless,UNKNOWN,NA
DVIT3013.0000B,DVIT3013,3013,  K 15 59,K,15,59,Autumn Black,USA,NA
DVIT3013.0000A,DVIT3013,3013,  K 15 60,K,15,60,Autumn Black,USA,NA
DVIT3194.0000I,DVIT3194,3194,  K 15 76,K,15,76,Autumn Royal 2X,USA,NA
DVIT3014.0000A,DVIT3014,3014,  K 15 61,K,15,61,Autumn Seedless,USA,NA
DVIT3014.0000B,DVIT3014,3014,  K 15 62,K,15,62,Autumn Seedless,USA,NA
DVIT3193.0000G,DVIT3193,3193,  K 16  7,K,16,7,Autumn Seedless 4X,USA,NA
DVIT2171.0000B,DVIT2171,2171,  K 14 25,K,14,25,B 15-19,UNKNOWN,NA
DVIT2171.0000C,DVIT2171,2171,  K 14 26,K,14,26,B 15-19,UNKNOWN,NA
DVIT1857.0000C,DVIT1857,1857,  K 14  5,K,14,5,b 39-52 Mlc,MEXICO,NA
DVIT1857.0000D,DVIT1857,1857,  K 14  6,K,14,6,b 39-52 Mlc,MEXICO,NA
DVIT1858.0000C,DVIT1858,1858,  K 14  7,K,14,7,b 39-59 Mlc,MEXICO,NA
DVIT1858.0000D,DVIT1858,1858,  K 14  8,K,14,8,b 39-59 Mlc,MEXICO,NA
DVIT1859.0000C,DVIT1859,1859,  K 14  9,K,14,9,b 39-59a Mlc,MEXICO,NA
DVIT1859.0000D,DVIT1859,1859,  K 14 10,K,14,10,b 39-59a Mlc,MEXICO,NA
DVIT1860.0000C,DVIT1860,1860,  K 14 11,K,14,11,b 39-63 Mlc,MEXICO,NA
DVIT1860.0000D,DVIT1860,1860,  K 14 12,K,14,12,b 39-63 Mlc,MEXICO,NA
DVIT1861.0000C,DVIT1861,1861,  K 14 13,K,14,13,b 40-4 Mlc,MEXICO,NA
DVIT1861.0000H,DVIT1861,1861,  K 14 14,K,14,14,b 40-4 Mlc,MEXICO,NA
DVIT1862.0000C,DVIT1862,1862,  K 14 15,K,14,15,b 40-6 Mlc,MEXICO,NA
DVIT1862.0000D,DVIT1862,1862,  K 14 16,K,14,16,b 40-6 Mlc,MEXICO,NA
DVIT2904.0000A,DVIT2904,2904,  K 15 15,K,15,15,B5,UNKNOWN,NA
DVIT2904.0000B,DVIT2904,2904,  K 15 16,K,15,16,B5,UNKNOWN,NA
DVIT3257.0000D,DVIT3257,3257,  K 17  9,K,17,9,B7-7 (Thompson mutant),USA,Mutant of Thompson seedless
DVIT2743.0000G,DVIT2743,2743,  L 12 77,L,12,77,Bacchus,GERMANY,NA
DVIT2667.0000C,DVIT2667,2667,  L 15 19,L,15,19,Badacsony-10,HUNGARY,NA
DVIT2667.0000D,DVIT2667,2667,  L 15 20,L,15,20,Badacsony-10,HUNGARY,NA
DVIT2306.0000A,DVIT2306,2306,  K  3 19,K,3,19,Baharat Early,INDIA,NA
DVIT2306.0000B,DVIT2306,2306,  K  3 20,K,3,20,Baharat Early,INDIA,NA
DVIT0346.0000C,DVIT0346,346,  K  4 27,K,4,27,Baidh Ul Haman,UNKNOWN,NA
DVIT0346.0000D,DVIT0346,346,  K  4 28,K,4,28,Baidh Ul Haman,UNKNOWN,NA
DVIT0653.0000C,DVIT0653,653,  L  3 65,L,3,65,Bakari Mavro,GREECE,NA
DVIT0653.0000D,DVIT0653,653,  L  3 66,L,3,66,Bakari Mavro,GREECE,NA
DVIT2905.0000A,DVIT2905,2905,  K 15 17,K,15,17,Balta,UNKNOWN,NA
DVIT2905.0000B,DVIT2905,2905,  K 15 18,K,15,18,Balta,UNKNOWN,NA
DVIT0348.0000C,DVIT0348,348,  K  4 29,K,4,29,Barbableu,ITALY,OLIVETTA NERA X MUSCATTO D'ADDA
DVIT0348.0000D,DVIT0348,348,  K  4 30,K,4,30,Barbableu,ITALY,OLIVETTA NERA X MUSCATTO D'ADDA
DVIT1651.0000C,DVIT1651,1651,  K  9 47,K,9,47,Barbableu,ITALY,OLIVETTA NERA X MUSCATTO D'ADDA
DVIT1651.0000D,DVIT1651,1651,  K  9 48,K,9,48,Barbableu,ITALY,OLIVETTA NERA X MUSCATTO D'ADDA
DVIT0700.0000C,DVIT0700,700,  L  4 51,L,4,51,Barbara,UNKNOWN,NA
DVIT0700.0000E,DVIT0700,700,  L  4 52,L,4,52,Barbara,UNKNOWN,NA
DVIT0648.0000E,DVIT0648,648,  L  3 55,L,3,55,Barbera,ITALY,NA
DVIT0648.0000D,DVIT0648,648,  L  3 56,L,3,56,Barbera,ITALY,NA
DVIT0649.0000C,DVIT0649,649,  L  3 57,L,3,57,Barbera,ITALY,NA
DVIT0649.0000D,DVIT0649,649,  L  3 58,L,3,58,Barbera,ITALY,NA
DVIT2499.0000F,DVIT2499,2499,  K 12 77,K,12,77,Bargoon,PAKISTAN,NA
DVIT2499.0000E,DVIT2499,2499,  K 12 78,K,12,78,Bargoon,PAKISTAN,NA
DVIT0349.0000C,DVIT0349,349,  K 10 23,K,10,23,Barlinka,ALGERIA,NA
DVIT0349.0000D,DVIT0349,349,  K 10 24,K,10,24,Barlinka,ALGERIA,NA
DVIT1080.0000A,DVIT1080,1080,  L  1 43,L,1,43,Barlinka,SOUTH AFRICA,NA
DVIT1080.0000B,DVIT1080,1080,  L  1 44,L,1,44,Barlinka,SOUTH AFRICA,NA
DVIT0310.0000C,DVIT0310,310,  K  3 59,K,3,59,Barmak Isium,GERMANY,NA
DVIT0310.0000D,DVIT0310,310,  K  3 60,K,3,60,Barmak Isium,GERMANY,NA
DVIT0350.0000C,DVIT0350,350,  K  4 31,K,4,31,Barone Dell'aterno,ITALY,DELIZIA DI VAPRIO (P 46) X ANGELO PIROVANO (P 2)
DVIT0350.0000G,DVIT0350,350,  K  4 32,K,4,32,Barone Dell'aterno,ITALY,DELIZIA DI VAPRIO (P 46) X ANGELO PIROVANO (P 2)
DVIT0650.0000E,DVIT0650,650,  L  3 60,L,3,60,Bastardo,PORTUGAL,NA
DVIT2057.0000C,DVIT2057,2057,  L 13  1,L,13,1,Bastardo,PORTUGAL,NA
DVIT2545.0000A,DVIT2545,2545,  K 14 47,K,14,47,Batta,INDIA,NA
DVIT2545.0000B,DVIT2545,2545,  K 14 48,K,14,48,Batta,INDIA,NA
DVIT0351.0000G,DVIT0351,351,  K  4 33,K,4,33,Beauty Seedless,UNKNOWN,NA
DVIT0351.0000F,DVIT0351,351,  K  4 34,K,4,34,Beauty Seedless,UNKNOWN,NA
DVIT0651.0000C,DVIT0651,651,  L  3 61,L,3,61,Beba,SPAIN,NA
DVIT0651.0000E,DVIT0651,651,  L  3 62,L,3,62,Beba,SPAIN,NA
DVIT0652.0000D,DVIT0652,652,  L  3 64,L,3,64,Beclan,UNKNOWN,NA
DVIT1840.0000I,DVIT1840,1840,  L  2  7,L,2,7,Beli Potok,YUGOSLAVIA,NA
DVIT1840.0000J,DVIT1840,1840,  L  2  8,L,2,8,Beli Potok,YUGOSLAVIA,NA
DVIT1841.0000F,DVIT1841,1841,  L  2  9,L,2,9,Beli Potok,YUGOSLAVIA,NA
DVIT1841.0000I,DVIT1841,1841,  L  2 10,L,2,10,Beli Potok,YUGOSLAVIA,NA
DVIT1069.0000C,DVIT1069,1069,  L 12 41,L,12,41,Beli Prokupac,YUGOSLAVIA,NA
DVIT1069.0000D,DVIT1069,1069,  L 12 42,L,12,42,Beli Prokupac,YUGOSLAVIA,NA
DVIT0352.0000C,DVIT0352,352,  K  4 35,K,4,35,Bellino,UNKNOWN,NA
DVIT0352.0000E,DVIT0352,352,  K  4 36,K,4,36,Bellino,UNKNOWN,NA
DVIT2113.0000A,DVIT2113,2113,  L  2 23,L,2,23,Bequignol,FRANCE,NA
DVIT2113.0000B,DVIT2113,2113,  L  2 24,L,2,24,Bequignol,FRANCE,NA
DVIT0654.0000F,DVIT0654,654,  L 13 33,L,13,33,Bermestia Bianca,UNKNOWN,NA
DVIT0654.0000E,DVIT0654,654,  L 13 34,L,13,34,Bermestia Bianca,UNKNOWN,NA
DVIT0655.0000E,DVIT0655,655,  L  3 67,L,3,67,Bermestia Violacea,UNKNOWN,NA
DVIT0655.0000I,DVIT0655,655,  L  3 68,L,3,68,Bermestia Violacea,UNKNOWN,NA
DVIT2501.0000F,DVIT2501,2501,  K 13  1,K,13,1,Berurargoon,PAKISTAN,NA
DVIT2501.0000G,DVIT2501,2501,  K 13  2,K,13,2,Berurargoon,PAKISTAN,NA
DVIT0657.0000C,DVIT0657,657,  L  3 69,L,3,69,Berzamino,ITALY,NA
DVIT0657.0000E,DVIT0657,657,  L  3 70,L,3,70,Berzamino,ITALY,NA
DVIT0656.0000A,DVIT0656,656,  L  1  3,L,1,3,Berzemina,ITALY,NA
DVIT0656.0000B,DVIT0656,656,  L  1  4,L,1,4,Berzemina,ITALY,NA
DVIT0353.0000C,DVIT0353,353,  K 11 59,K,11,59,Bhokari,INDIA,NA
DVIT0353.0000D,DVIT0353,353,  K 11 60,K,11,60,Bhokari,INDIA,NA
DVIT1081.0000C,DVIT1081,1081,  K  9 21,K,9,21,Bhokri,INDIA,NA
DVIT1081.0000D,DVIT1081,1081,  K  9 22,K,9,22,Bhokri,INDIA,NA
DVIT0311.0000C,DVIT0311,311,  K  3 61,K,3,61,Bias Kukuzeti,USSR,NA
DVIT0311.0000D,DVIT0311,311,  K  3 62,K,3,62,Bias Kukuzeti,USSR,NA
DVIT2696.0000B,DVIT2696,2696,  K 13 71,K,13,71,Bien Donnie,SOUTH AFRICA,Ohanes x Koenigin Der Weingaerten
DVIT2696.0000C,DVIT2696,2696,  K 13 72,K,13,72,Bien Donnie,SOUTH AFRICA,Ohanes x Koenigin Der Weingaerten
DVIT1317.0000C,DVIT1317,1317,  L 12 55,L,12,55,Bixby,UNKNOWN,MISSION X V. GIRDIANA
DVIT1317.0000D,DVIT1317,1317,  L 12 56,L,12,56,Bixby,UNKNOWN,MISSION X V. GIRDIANA
DVIT1052.0000C,DVIT1052,1052,  K  9 15,K,9,15,Black Corinth,GREECE,NA
DVIT1052.0000D,DVIT1052,1052,  K  9 16,K,9,16,Black Corinth,GREECE,NA
DVIT0355.0000A,DVIT0355,355,  K 13 75,K,13,75,Black Damascus,UNKNOWN,NA
DVIT0355.0000B,DVIT0355,355,  K 13 76,K,13,76,Black Damascus,UNKNOWN,NA
DVIT0356.0000C,DVIT0356,356,  K 11 61,K,11,61,Black Ferrara,UNKNOWN,NA
DVIT0356.0000D,DVIT0356,356,  K 11 62,K,11,62,Black Ferrara,UNKNOWN,NA
DVIT1082.0000A,DVIT1082,1082,  K  1 31,K,1,31,Black Hamburg,GERMANY,NA
DVIT1082.0000E,DVIT1082,1082,  K  1 32,K,1,32,Black Hamburg,GERMANY,NA
DVIT0357.0000C,DVIT0357,357,  K  4 37,K,4,37,Black Hamburg,GERMANY,NA
DVIT1309.0000C,DVIT1309,1309,  K 10  7,K,10,7,Black Hamburg,GERMANY,NA
DVIT1309.0000E,DVIT1309,1309,  K 10  8,K,10,8,Black Hamburg,GERMANY,NA
DVIT1326.0000C,DVIT1326,1326,  K  9 33,K,9,33,Black Kishmish,USSR,NA
DVIT1326.0000D,DVIT1326,1326,  K  9 34,K,9,34,Black Kishmish,USSR,NA
DVIT2055.0000C,DVIT2055,2055,  K 10  1,K,10,1,Black Kishmish,USSR,NA
DVIT2055.0000D,DVIT2055,2055,  K 10  2,K,10,2,Black Kishmish,USSR,NA
DVIT0358.0000C,DVIT0358,358,  K 10 25,K,10,25,Black Kishmish,USSR,NA
DVIT0358.0000D,DVIT0358,358,  K 10 26,K,10,26,Black Kishmish,USSR,NA
DVIT0658.0000C,DVIT0658,658,  L  3 71,L,3,71,Black Malvoisie,UNKNOWN,NA
DVIT0658.0000F,DVIT0658,658,  L  3 72,L,3,72,Black Malvoisie,UNKNOWN,NA
DVIT0359.0000E,DVIT0359,359,  K  4 40,K,4,40,Black Monukka,UNKNOWN,NA
DVIT0360.0000C,DVIT0360,360,  K  4 41,K,4,41,Black Morocco,UNKNOWN,NA
DVIT0360.0000D,DVIT0360,360,  K  4 42,K,4,42,Black Morocco,UNKNOWN,NA
